lat,lng,name
37.49504853,-122.2731426,Pidgey
37.41754641,-121.8860117,Rattata
37.71074685,-122.1646265,Pidgey
37.36480148,-121.9163322,Growlithe
37.5932824,-122.3834956,Caterpie
37.45561263,-121.9014842,Golbat
37.48704732,-122.275092,Caterpie
37.48399344,-122.2563936,Pidgey
37.80540588,-122.4276576,Nidoran♂
37.68583797,-122.3998704,Weedle
37.82070157,-122.3740235,Magnemite
37.67858727,-122.0774862,Eevee
37.86979412,-122.494529,Rattata
37.35225752,-121.8917919,Pidgey
37.82864077,-122.2625972,Staryu
37.67220699,-122.3888951,Zubat
37.80668692,-122.2705728,Spearow
37.65317815,-122.0917777,Meowth
37.74261859,-122.5084993,Slowpoke
37.39731976,-122.1207989,Pidgey
37.78529885,-122.4061541,Weedle
37.56529789,-121.9654853,Nidoran♀
37.34337693,-121.9101088,Zubat
37.59326857,-122.0320247,Eevee
37.71004748,-122.3853545,Zubat
37.88526139,-122.2225332,Krabby
37.50592238,-122.2730539,Zubat
37.7473255,-122.2533803,Tentacool
37.36036638,-121.9974719,Weedle
37.6460865,-122.0836113,Meowth
37.76347456,-122.4386288,Nidoran♀
37.8825199,-122.4677325,Poliwag
37.43452531,-122.1256794,Rattata
37.7891756,-122.3976578,Metapod
37.61407953,-122.0927541,Ekans
37.43835588,-122.2423011,Weedle
37.43796537,-122.1271878,Zubat
37.85225817,-122.2272317,Caterpie
37.8281889,-122.2443398,Gloom
37.65140463,-122.1160957,Rattata
37.76862356,-122.2195189,Kakuna
37.37643878,-121.9677958,Pidgey
37.51814638,-122.3409976,Pidgey
37.31654938,-121.8456307,Zubat
37.74408773,-122.225636,Bellsprout
37.76006419,-122.438098,Nidoran♂
37.49620898,-122.2352099,Pidgey
37.29201642,-121.8788082,Rattata
37.37232666,-121.9262891,Koffing
37.42408103,-122.2010768,Spearow
37.36029192,-121.9987157,Rattata
37.82425898,-122.5274182,Magikarp
37.78168906,-122.4166852,Doduo
37.63829832,-122.4449102,Kakuna
37.29610412,-122.044191,Pidgey
37.79431628,-122.4039416,Venonat
37.4743088,-122.2011654,Ekans
37.42066461,-122.1726094,Ekans
37.75345187,-122.4375671,Pidgey
37.76668249,-122.2075496,Doduo
37.35002695,-121.9599756,Pidgey
37.52339522,-122.2616224,Psyduck
37.79517944,-122.3921701,Tentacool
37.29948351,-121.9368672,Pidgey
37.6353384,-121.9032625,Spearow
37.92361443,-122.3329388,Zubat
37.64955231,-122.4979775,Nidoran♂
37.85811915,-122.2095002,Caterpie
37.46256444,-121.9604199,Kabuto
37.43297093,-122.052538,Weedle
37.64182533,-122.0623936,Ekans
37.37041544,-121.9254001,Venomoth
37.74198257,-122.183607,Doduo
37.50620688,-121.9947179,Paras
37.8908104,-122.2679143,Pidgey
37.72356919,-122.4538451,Zubat
37.92676594,-122.2940529,Eevee
37.76165102,-122.4518105,Pidgey
37.98467891,-122.2724337,Bellsprout
37.68088193,-122.0817472,Spearow
37.58328003,-122.4916109,Spearow
37.65270682,-121.8773853,Pidgey
37.2999468,-122.0244755,Pidgey
37.30877338,-121.8670683,Ekans
37.47803228,-122.2499237,Growlithe
37.31496122,-122.0491638,Jigglypuff
37.79040602,-122.4391597,Zubat
37.88865936,-122.27713,Weedle
37.42334314,-122.1655135,Spearow
37.77000609,-122.4701206,Mankey
37.80528544,-122.2671168,Tentacool
